,ltt,lgt,land_no,cluster
1280,13.90019985356021,100.71022092490908,69513,19
1281,13.900164047475029,100.71022382151732,69514,19
1282,13.90012828755909,100.7102261611387,69515,19
1283,13.900092047044293,100.71022744190378,69516,19
1284,13.90005589230508,100.71023052664724,69517,19
1285,13.900020367542414,100.71023175455136,69518,19
1286,13.899984500796496,100.71023637223442,69519,19
1287,13.899948242482438,100.71023711685888,69520,19
1288,13.89991233393757,100.71024099915464,69521,19
1289,13.899876183302393,100.7102426271846,69522,19
1290,13.899840816436546,100.71024562513972,69523,19
1291,13.899804072081189,100.710246157626,69524,19
1292,13.899766316803376,100.71025200388044,69525,19
1293,13.901833217199306,100.7091478393022,71904,9
1294,13.90190676709734,100.70913552400452,71905,9
1295,13.902009122896349,100.7096711445908,71907,9
1296,13.90197067862795,100.70968091331132,71908,9
1297,13.90193317747728,100.70968598853464,71909,9
1298,13.90189701626086,100.7096973704428,71910,9
1299,13.901935424659934,100.7095687123684,71911,9
1300,13.901923113273028,100.70950868821286,71912,9
1301,13.901915209626896,100.70945133246268,71913,9
1302,13.901906468508011,100.70939579238816,71914,9
1303,13.901895885670626,100.70934214289808,71915,9
1304,13.90188578503486,100.70928752039816,71916,9
1305,13.901875972825952,100.70922424028544,71917,9
1306,13.90184638495522,100.70907503701176,71918,9
1307,13.903721415918032,100.70920765394992,85600,10
1308,13.903747126739624,100.70934344584516,85601,10
1309,13.903770803780336,100.70947814031004,85602,10
1310,13.903795892150272,100.70961551006091,85603,10
1311,13.903821962361471,100.7097529505758,85604,10
1312,13.903846362233796,100.70989006407872,85605,10
1313,13.90387076188271,100.7100258331685,85606,10
1314,13.903893280419949,100.71017950543536,85607,10
1315,13.903928726334884,100.7103721148571,85608,10
1316,13.903962351767804,100.71052217766643,85609,10
1317,13.903986782917388,100.71065895609898,85610,10
1318,13.904009911942296,100.71079412853295,85611,10
1319,13.904034947884991,100.71093074992194,85612,10
1320,13.904058190504998,100.71106674937188,85613,10
1321,13.904083088048598,100.71120054648829,85614,10
1322,13.904105711325885,100.71133642601372,85615,10
1323,13.904130549601422,100.7114708035296,85616,10
1324,13.904153842645137,100.7116056495242,85617,10
1325,13.90417784775955,100.71174218654993,85618,10
1326,13.9042023302563,100.7118792943117,85619,10
1327,13.90422602029308,100.71201607050592,85620,10
1328,13.904251394609698,100.71215401960296,85621,10
1329,13.90427864126257,100.71088744575168,85679,11
1330,13.904253532797568,100.71074959224336,85680,11
1331,13.904228909569396,100.71061330992308,85681,11
1332,13.904204619221716,100.71047781720443,85682,11
1333,13.904181537107403,100.71032494982744,85683,11
1334,13.90414682489231,100.710130323286,85684,11
1335,13.90411321418732,100.7099806085322,85685,11
1336,13.904087950308751,100.70984567678548,85686,11
1337,13.904063281039695,100.7097112998168,85687,11
1338,13.90403888319208,100.70957574115832,85688,11
1339,13.904013527188198,100.70943776261616,85689,11
1340,13.903987937743706,100.70929976122784,85690,11
1341,13.903962210057417,100.70915958100343,85691,11
1342,13.90241240419587,100.70910893712777,89500,12
1343,13.902422557418207,100.70916860195288,89501,12
1344,13.902432848431928,100.7092284330858,89502,12
1345,13.902443102519465,100.70928944877018,89503,12
1346,13.90245384155197,100.7093496361101,89504,12
1347,13.90220888288239,100.7091279749376,89593,12
1348,13.902237925290724,100.70929060609964,89596,12
1349,13.902248536763816,100.70934719908138,89597,12
1350,13.902256277190617,100.70940404248589,89598,12
1351,13.902268371488953,100.70946234707004,89599,12
1352,13.902278146258936,100.7095217316367,89600,12
1353,13.902341114603262,100.7096184787114,89601,12
1354,13.902309589408732,100.709625711852,89602,12
1355,13.902278006037598,100.70963025239678,89603,12
1356,13.902247064272135,100.70963249083414,89604,12
1357,13.902218510814828,100.70963977078888,89605,12
1358,13.90218823233549,100.70964432957776,89606,12
1359,13.902159388752402,100.70965011195288,89607,12
1360,13.902130264186177,100.70965235981856,89608,12
1361,13.90215533773066,100.70953743174498,89609,12
1362,13.902145298119065,100.7094787034702,89610,12
1363,13.902136575019073,100.70942020834102,89611,12
1364,13.90212490233674,100.70936313855732,89612,12
1365,13.902118024234344,100.70930780233606,89613,12
1366,13.902106639334278,100.7092559808972,89614,12
1367,13.902099148250969,100.70920425427045,89615,12
1368,13.902088793016183,100.70914830240484,89616,12
1369,13.902077324292314,100.7090807546651,89617,12
1370,13.90238604056548,100.709924134361,89663,12
1371,13.902418656149065,100.71022847615004,89668,12
1372,13.902429786770506,100.71028960684234,89669,12
1373,13.902448783082551,100.71040581251486,89671,12
1374,13.90245904969124,100.7104651191625,89672,12
1375,13.902468661325363,100.7105263065516,89673,12
1376,13.902479086167952,100.71058756790006,89674,12
1377,13.902490501075054,100.7106581397248,89675,12
1378,13.90252011769044,100.7108369858828,89677,12
1379,13.90253091455947,100.7108983885116,89678,12
1380,13.902541208284417,100.7109588520528,89679,12
1381,13.902550913391512,100.71101778356996,89680,12
1382,13.902561270241964,100.71107773577776,89681,12
1383,13.902570975244476,100.7111387149268,89682,12
1384,13.902580378892592,100.71120005405965,89683,12
1385,13.902592586701251,100.71126065583192,89684,12
1386,13.902600511367416,100.71132080487222,89685,12
1387,13.902609934046248,100.71137967058866,89686,12
1388,13.902619191057594,100.71143833706758,89687,12
1389,13.902628867168144,100.71149826604416,89688,12
1390,13.902638984965414,100.71156769913758,89689,12
1391,13.902658554816792,100.71168304898148,89690,12
1392,13.902671477258645,100.71175374818864,89691,12
1393,13.902681958598226,100.71181434578004,89692,12
1394,13.902691667212808,100.71187295208246,89693,12
1395,13.902701177357782,100.71193289869429,89694,12
1396,13.90271306199603,100.71199877744829,89695,12
1397,13.902724624487544,100.71206782673902,89696,12
1398,13.90273461451248,100.71213050663246,89697,12
1399,13.90274518617954,100.7121893658005,89698,12
1400,13.902755646283415,100.71224843637728,89699,12
1401,13.902765041539723,100.71230876411198,89700,12
1402,13.902775611229403,100.7123705551858,89701,12
1403,13.902786164398949,100.71243429208364,89702,12
1404,13.902804360055017,100.71254025163375,89703,12
1405,13.902815761710311,100.71260689444718,89704,12
1406,13.902825347700189,100.71266552013572,89705,12
1407,13.902836344773126,100.7127250796911,89706,12
1408,13.902846680070937,100.71278625063024,89707,12
1409,13.902856591310936,100.71285050774948,89708,12
1410,13.902869952649638,100.712922391959,89709,12
1411,13.902880825526523,100.71299062720186,89710,12
1412,13.9028910141878,100.71305113541652,89711,12
1413,13.90290076822213,100.7131102181617,89712,12
1414,13.902909348405888,100.71317115384691,89713,12
1415,13.902919152568902,100.71323121950424,89714,12
1416,13.902928836778925,100.71329753795868,89715,12
1417,13.902945158316736,100.71340594513164,89716,12
1418,13.902954625348327,100.71347115902968,89717,12
1419,13.902964196497532,100.71353229071576,89718,12
1420,13.902981919633229,100.71365213021824,89720,12
1421,13.902992563881948,100.71372005700812,89721,12
1422,13.903177341668007,100.7136894052664,89862,12
1423,13.903167618053317,100.7136287964713,89863,12
1424,13.903155775692,100.71356803487517,89864,12
1425,13.903148415718157,100.71350806922771,89865,12
1426,13.90313762894816,100.71344801791464,89866,12
1427,13.90312745039356,100.7133806803282,89867,12
1428,13.90311045159644,100.71327058658112,89868,12
1429,13.903098795568622,100.71320492982083,89869,12
1430,13.90308950257345,100.71314481619618,89870,12
1431,13.903080265178222,100.71308454144572,89871,12
1432,13.903069527671867,100.71302430648949,89872,12
1433,13.903059822975148,100.7129637937538,89873,12
1434,13.903049246043958,100.71289642104932,89874,12
1435,13.90303548420681,100.7128241506384,89875,12
1436,13.903025949467592,100.71275762045649,89876,12
1437,13.903014959606974,100.71269830116056,89877,12
1438,13.903004124281368,100.71263814726665,89878,12
1439,13.902995132172896,100.71257875669632,89879,12
1440,13.902983818150853,100.71251495225984,89880,12
1441,13.902966391244348,100.71240662602916,89881,12
1442,13.90295401155388,100.71234219981451,89882,12
1443,13.902944091962842,100.71228226357051,89883,12
1444,13.902934973152892,100.71222221840422,89884,12
1445,13.902924292998671,100.71216239476244,89885,12
1446,13.902914823151646,100.71210327221368,89886,12
1447,13.90290277903762,100.7120396261698,89887,12
1448,13.902891991581935,100.71197005490396,89888,12
1449,13.902880787086142,100.71190476240804,89889,12
